地名,センター,燃やすごみ,燃やさないごみ,資源,びん
旭町1丁目,東部管理センター,月 水 金,木2,水,水
旭町2丁目,東部管理センター,月 水 金,木4,水,水
旭町3丁目,東部管理センター,月 水 金,木4,水,水
旭町4丁目,東部管理センター,月 水 金,木4,水,水
旭町5丁目,東部管理センター,月 水 金,木2,水,水
旭町6丁目,東部管理センター,月 水 金,木2,水,水
東町,東部管理センター,火 木 土,木3,月,月
市場1丁目,東部管理センター,火 木 土,火3,月,月
市場2丁目,東部管理センター,火 木 土,木3,月,月
市場3丁目,東部管理センター,火 木 土,火3,月,月
市場4丁目,東部管理センター,火 木 土,火3,月,月
市場5丁目,東部管理センター,火 木 土,木3,月,月
印内1丁目,東部管理センター,月 水 金,月2,金,火
印内2丁目,東部管理センター,月 水 金,月2,金,火
印内3丁目,東部管理センター,月 水 金,月2,金,火
印内町,東部管理センター,月 水 金,月4,金,火
大穴北1丁目,東部管理センター,火 木 土,金2,木,水
大穴北2丁目,東部管理センター,火 木 土,金2,木,水
大穴北3丁目,東部管理センター,火 木 土,金2,木,水
大穴北4丁目,東部管理センター,火 木 土,金1,木,月
大穴北5丁目,東部管理センター,火 木 土,金1,木,水
大穴北6丁目,東部管理センター,火 木 土,金2,木,水
大穴北7丁目,東部管理センター,火 木 土,金2,木,水
大穴北8丁目,東部管理センター,火 木 土,金2,木,水
大穴町,東部管理センター,火 木 土,金2,木,水
大穴南1丁目,東部管理センター,火 木 土,金2,木,水
大穴南2丁目,東部管理センター,火 木 土,金2,木,水
大穴南3丁目,東部管理センター,火 木 土,金2,木,水
大穴南4丁目,東部管理センター,火 木 土,金2,木,水
大穴南5丁目,東部管理センター,火 木 土,金2,木,水
大神保町,東部管理センター,火 木 土,金1,木,月
海神1丁目,東部管理センター,月 水 金,月4,金,金
海神2丁目,東部管理センター,月 水 金,月3,金,金
海神3丁目,東部管理センター,月 水 金,月3,金,金
海神4丁目,東部管理センター,月 水 金,月3,金,金
海神5丁目,東部管理センター,月 水 金,月3,金,金
海神6丁目,東部管理センター,月 水 金,月3,金,金
海神町2丁目,東部管理センター,月 水 金,月4,金,金
海神町3丁目,東部管理センター,月 水 金,月4,金,金
海神町西1丁目,東部管理センター,月 水 金,月4,金,金
海神町東1丁目,東部管理センター,月 水 金,月4,金,金
海神町南1丁目,東部管理センター,月 水 金,月4,金,金
葛飾町2丁目,東部管理センター,月 水 金,月4,金,火
金杉1丁目,東部管理センター,火 木 土,木3,水,火
金杉2丁目,東部管理センター,月 水 金,木4,水,火
金杉3丁目,東部管理センター,月 水 金,木4,水,火
金杉4丁目,東部管理センター,月 水 金,木4,水,火
金杉5丁目,東部管理センター,月 水 金,木4,水,火
金杉6丁目,東部管理センター,月 水 金,木4,水,火
金杉7丁目,東部管理センター,月 水 金,木4,水,火
金杉8丁目,東部管理センター,火 木 土,木3,水,火
金杉9丁目,東部管理センター,火 木 土,木3,水,火
金杉台1丁目,東部管理センター,月 水 金,木4,水,火
金杉台2丁目,東部管理センター,月 水 金,木4,水,火
金杉町,東部管理センター,月 水 金,木4,水,火
金堀町,東部管理センター,火 木 土,金1,木,月
上山町1丁目,東部管理センター,月 水 金,木1,水,木
上山町2丁目,東部管理センター,月 水 金,木1,水,木
上山町3丁目,東部管理センター,月 水 金,木4,水,木
北本町1丁目,東部管理センター,月 水 金,木2,月,水
北本町2丁目,東部管理センター,月 水 金,木2,水,水
行田1丁目,東部管理センター,月 水 金,木2,水,水
行田2丁目,東部管理センター,月 水 金,月2,水,水
行田3丁目 ,東部管理センター,月 水 金,月2,水,水
行田町,東部管理センター,月 水 金,木1,水,水
楠が山町,東部管理センター,火 木 土,金1,木,月
車方町,東部管理センター,火 木 土,金1,木,月
高野台1丁目,東部管理センター,火 木 土,金1,木,金
高野台2丁目,東部管理センター,火 木 土,金1,木,金
高野台3丁目,東部管理センター,火 木 土,金1,木,金
高野台4丁目,東部管理センター,火 木 土,金1,木,金
高野台5丁目,東部管理センター,火 木 土,金1,木,金
古作1丁目,東部管理センター,月 水 金,木1,金,火
古作2丁目,東部管理センター,月 水 金,月1,金,火
古作3丁目,東部管理センター,月 水 金,月2,金,火
古作4丁目,東部管理センター,月 水 金,木1,金,火
古作町,東部管理センター,月 水 金,木1,水,水
小野田町,東部管理センター,火 木 土,金1,木,月
小室町,東部管理センター,火 木 土,火1,木,月
米が崎町,東部管理センター,火 木 土,木3,水,水
古和釜町,東部管理センター,火 木 土,金2,木,月
栄町1丁目,東部管理センター,月 水 金,月4,金,金
